fips,County,ST,stover_removal,corn_yield_Mg_ha,soy_yield_Mg_ha,stover_yield_Mg_ha,dSOC_MgCO2e_ha,N2O_MgCO2e_ha,area_ha,GHG_MgCO2e_ha,corn_prod_Mt_y,soy_prod_Mt_y,stover_prod_Mt_y,dSOC_MtCO2e,N2O_MtCO2e,GHG_MtCO2e
17037,DeKalb,IL,no_stover_BAU,14.517038939685076,4.094835415633813,0.0,250.18676188893053,1.8377704558185193,110317.40359999999,-248.34899143311202,0.8007410218930772,0.22586580561102454,0.0,27.599953986678244,0.20273806509868753,-27.39721592157956
17037,DeKalb,IL,25pct_stover,14.51864912532538,4.1057155574569215,3.6141402790697676,241.90881740854678,1.7973546107303493,110317.40359999999,-240.11146279781644,0.8008298376426534,0.22646594010938706,0.19935128591657808,26.686752644457357,0.1982794940042608,-26.488473150453096
17037,DeKalb,IL,50pct_stover,14.519820535016404,4.115652677872017,7.228485488372092,233.64001513178093,1.7319775888769902,110317.40359999999,-231.90803754290394,0.8008944510804862,0.22701405877111402,0.39871387551874354,25.77455984640278,0.19106727069829776,-25.583492575704483
17037,DeKalb,IL,75pct_stover,14.520806485696255,4.126164849481833,10.842946821705429,225.16914700832,1.699772036335404,110317.40359999999,-223.4693749719846,0.8009488348400255,0.22759389651021025,0.5980828703717075,24.840075668784568,0.1875144377604066,-24.65256123102416
17039,De Witt,IL,no_stover_BAU,13.854020782843273,4.141827476349465,0.0,235.86178095313778,1.8063906510905263,78792.3642,-234.05539030204724,0.5457955255780781,0.16317218948504694,0.0,18.584107345720252,0.14232979006819985,-18.441777555652052
17039,De Witt,IL,25pct_stover,13.85538759655399,4.147344548546661,3.3988348837209297,228.70286132450025,1.6870860518579993,78792.3642,-227.01577527264226,0.5458493728199223,0.16338954106598652,0.13390111800690208,18.020039143062117,0.13292949863473555,-17.88710964442738
17039,De Witt,IL,50pct_stover,13.856475931911621,4.153010225255868,6.797932465116279,221.48335707890644,1.6426927391500676,78792.3642,-219.84066433975636,0.5458922490778574,0.1636127470973422,0.26781258529922286,17.451197335199844,0.1294316445718077,-17.321765690628034
17039,De Witt,IL,75pct_stover,13.857742951356615,4.1587244995349275,10.196976728682166,214.04958276767732,1.5925261308042407,78792.3642,-212.4570566368731,0.5459421648066366,0.16383786768740935,0.40172195207262484,16.865472682288875,0.12547889889634456,-16.73999378339253
17041,Douglas,IL,no_stover_BAU,14.205819245554203,4.016835368733586,0.0,210.94109943305426,1.549304130961305,93644.3404,-209.39179530209296,0.6651472865457744,0.18807694930022373,0.0,19.75344011965918,0.14508356342286663,-19.608356556236316
17041,Douglas,IL,25pct_stover,14.20563184826268,4.019786934319481,3.3419955038759688,204.44289525436884,1.4533230909812953,93644.3404,-202.98957216338755,0.6651385121978958,0.18821514800644296,0.15647948229011538,19.14492007556166,0.13609548224303258,-19.00882459331863
17041,Douglas,IL,50pct_stover,14.205825766871254,4.022422660810483,6.683973333333335,197.9150429717659,1.4198074444295712,93644.3404,-196.49523552733632,0.6651475918879913,0.18833855844080533,0.3129581370255948,18.53362365432867,0.13295693162861685,-18.400666722700056
17041,Douglas,IL,75pct_stover,14.205775226664079,4.024854719577598,10.025578217054273,191.19150775775796,1.4080318642642962,93644.3404,-189.78347589349366,0.665145225485809,0.18845243271033554,0.4694193296323277,17.904002634056727,0.13185421519121232,-17.772148418865513
17045,Edgar,IL,no_stover_BAU,15.479276335469653,4.147389311840424,0.0,218.635464274557,1.6364337095041763,113312.08,-216.9990305650528,0.8769944992334221,0.23497465474720353,0.0,24.774039218715746,0.18542770740603398,-24.588611511309708
17045,Edgar,IL,25pct_stover,15.480742037707625,4.155592136554271,3.442423984496124,211.5531769017165,1.6014164509620188,113312.08,-209.9517604507545,0.8770775401180446,0.23543939431230426,0.19503411096257178,23.971530505341455,0.18145982900472435,-23.790070676336732
17045,Edgar,IL,50pct_stover,15.481050151823764,4.1626676239531735,6.885097100775194,204.4327326485167,1.553016526593846,113312.08,-202.87971612192285,0.8770949966437332,0.23584026340939596,0.39008233674540344,23.164698156487333,0.17597553290272402,-22.98872262358461
17045,Edgar,IL,75pct_stover,15.48181088157317,4.169202433314747,10.327493100775197,197.10901493829593,1.498159115542229,113312.08,-195.6108558227537,0.8771380965788447,0.23621049982997763,0.5851148622172435,22.33483246940938,0.16975952555305027,-22.16507294385633
17047,Edwards,IL,no_stover_BAU,11.739154962352547,3.4709839907806663,0.0,177.54197738202822,1.141826035087813,26385.5272,-176.40015134694042,0.15487189628208406,0.04579187124975391,0.0,4.6845386733552905,0.030127681906477646,-4.654410991448813
17047,Edwards,IL,25pct_stover,11.733985623010556,3.471695812858846,2.90643846511628,172.20147462521223,1.1294523081869776,26385.5272,-171.07202231702524,0.154803698410177,0.04580126215015659,0.03834395558822592,4.543626692603646,0.02980119459877028,-4.513825498004877
17047,Edwards,IL,50pct_stover,11.725960689503415,3.4718814068578108,5.806906527131783,166.82525079058652,1.1172409552259581,26385.5272,-165.70800983536057,0.15469782735951154,0.04580371064791052,0.0766091450597466,4.401772192381842,0.029478991613068502,-4.372293200768774
17047,Edwards,IL,75pct_stover,11.71339921990076,3.469977124916724,8.699175333333327,161.2818801121561,1.053337789134004,26385.5272,-160.2285423230221,0.15453210686057514,0.04577858790643401,0.11476616368761779,4.255507434566433,0.02779287288598313,-4.227714561680451
17049,Effingham,IL,no_stover_BAU,9.623471350588176,2.984570432992703,0.0,167.98871797404107,1.0269804740486896,67987.24799999999,-166.96173749999238,0.3271366666666666,0.10145636510067113,0.0,11.421090630103185,0.06982157618030581,-11.35126905392288
17049,Effingham,IL,25pct_stover,9.598472968538646,2.9844200692246043,2.7460465116279074,162.76933060212048,1.013102359534518,67987.24799999999,-161.75622824258596,0.3262868810666665,0.10145125369127515,0.09334807260279068,11.066238846440353,0.06887804136705844,-10.997360805073294
17049,Effingham,IL,50pct_stover,9.567315564824742,2.983517886616012,5.469767441860466,157.51304995707957,0.9575899014778322,67987.24799999999,-156.55546005560174,0.3252277279999999,0.10142058523489933,0.1859372177860465,10.708878790668356,0.06510390211406894,-10.643774888554288
17049,Effingham,IL,75pct_stover,9.525832742438213,2.980660975022135,8.16124031007752,152.11879857831474,0.9575899014778322,67987.24799999999,-151.1612086768369,0.32381757653333343,0.10132346845637583,0.27743013447441855,10.34213848440593,0.06510390211406894,-10.277034582291861
17051,Fayette,IL,no_stover_BAU,9.859318133165209,2.996394663806571,0.0,173.62991344039287,1.0605280402637967,95789.1762,-172.56938540012908,0.4722079809348086,0.1435110882080537,0.0,16.631866372132542,0.10158710731386951,-16.53027926481867
